Date,Open,High,Low,Close,Volume,BBM_20_2.0,BBU_20_2.0,BBL_20_2.0,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,RSI_14,price_change_1d,price_change_5d,volatility_21d,label
2020-07-17 00:00:00+05:30,30.34178786926874,31.416213808540917,30.169879063207638,30.427743911743164,68818173,28.1349157333374,32.16171991773893,24.10811154893587,1.1368553741485883,0.9814050842298948,0.15545028991869347,71.1191676422678,0.026087139413645488,-0.04065021142750069,0.034163045656247504,NotLabeled
2020-07-20 00:00:00+05:30,30.4277382066745,30.771552475445265,29.9549882589231,30.55666732788086,27638440,28.32186574935913,32.437374341647356,24.206357157070908,1.1600668013566882,1.0171374276552536,0.14292937370143455,69.58177157055118,0.004237035006987133,-0.005594568454385329,0.03412930924651016,NotLabeled
2020-07-21 00:00:00+05:30,30.599648055503128,31.029418411782032,30.16987769922422,30.814533233642578,31595112,28.465838813781737,32.72338737943773,24.208290248125742,1.1856027575906793,1.0508304936423387,0.13477226394834063,70.52240554652761,0.008438940771738901,0.04824559212251289,0.03359020056601595,NotLabeled
2020-07-22 00:00:00+05:30,30.7715538262366,31.50216532735981,29.783084071381367,30.212854385375977,42531617,28.65064001083374,32.872695362934266,24.428584658733218,1.144101245290166,1.0694846439719043,0.07461660131826164,64.9056801582833,-0.019525814124930596,0.05555550742839399,0.033098459069947336,NotLabeled
2020-07-23 00:00:00+05:30,30.212854385375977,30.556668669239297,30.16987473086669,30.212854385375977,11579750,28.835441207885744,32.98721089953253,24.68367151623896,1.0985476245955716,1.0752972400966379,0.023250384498933796,66.66667240060406,0.0,0.018840615319068554,0.03064141106581095,NotLabeled
2020-07-24 00:00:00+05:30,29.912012898114618,29.912012898114618,28.923543153177548,29.525218963623047,15870701,29.00090265274048,32.97299952029698,25.028805785183977,0.9954842969645838,1.059334651470227,-0.06385035450564325,59.84249753460121,-0.02275969734543748,-0.029661250953666674,0.03128495158796624,NotLabeled
2020-07-27 00:00:00+05:30,29.52522224653427,29.61117828536055,28.83759033036211,29.224384307861328,13712354,29.192150402069093,32.7842821282173,25.600018675920886,0.8793939190508837,1.0233465049863586,-0.14395258593547489,56.224892154009225,-0.010189074503812012,-0.04360040333338033,0.031254664063736115,NotLabeled
2020-07-28 00:00:00+05:30,29.482241590058837,30.685599727974356,29.310332816229888,30.55666732788086,29751288,29.413481998443604,32.74741609786968,26.079547899017523,0.8846973234898492,0.9956166686870568,-0.11091934519720759,50.90086866265295,0.045588061188380546,-0.008368321006407053,0.031223961318666688,NotLabeled
2020-07-29 00:00:00+05:30,30.2988057953267,31.330255159030145,30.169873395281094,30.470714569091797,38860031,29.632664680480957,32.60228795492223,26.66304140603968,0.8719137613264927,0.970876087214944,-0.09896232588845133,43.65480815478731,-0.002812897030516015,0.008534783917690136,0.03099912336765389,NotLabeled
2020-07-30 00:00:00+05:30,30.599648694147486,30.8145338767718,29.224384836906935,29.43927001953125,25902582,29.763744831085205,32.42568697291107,27.101802689259337,0.7696813338965072,0.9306371365512567,-0.1609558026547495,37.78801965841158,-0.033850356453629105,-0.025604478013807497,0.032260396412405856,NotLabeled
2020-07-31 00:00:00+05:30,29.65415466532988,29.912016224033486,28.83759033036211,29.224384307861328,26453718,29.899122524261475,32.10151883562559,27.696726212897364,0.663671525333573,0.8772440143077199,-0.21357248897414693,41.20601793515956,-0.007299288043737473,-0.010189074503812012,0.031989260027430085,NotLabeled
2020-08-03 00:00:00+05:30,29.052472278749903,29.86903652292383,28.88056349909951,29.525218963623047,29156107,30.006564807891845,31.875128764013457,28.138000851770233,0.59705040540533,0.821205292527242,-0.2241548871219119,50.85711909079821,0.010293960433609417,0.010293960433609417,0.03180200271741908,NotLabeled
2020-08-04 00:00:00+05:30,29.69712449011275,30.083918382233126,29.482239358811082,29.740100860595703,19087784,30.098964881896972,31.689334385077807,28.508595378716137,0.5551919538764061,0.7680026247970748,-0.21281067092066874,58.02466091853415,0.007277910359865691,-0.026723021150284132,0.031209926223808762,NotLabeled
2020-08-05 00:00:00+05:30,30.169876094974047,32.14682225184515,30.1268997174089,31.588119506835938,81716003,30.15913257598877,31.880671263390475,28.437593888587067,0.6634901878045163,0.7471001373985632,-0.08360994959404688,62.43096469452827,0.06213895019733351,0.036671438577866144,0.03355345884387062,NotLabeled
2020-08-06 00:00:00+05:30,31.803006286275814,32.57659423722675,31.54514472892137,32.275753021240234,44354859,30.195663166046142,32.06564351300594,28.325682819086346,0.7956320453040391,0.7568065189796584,0.03882552632438063,62.01117650865387,0.021768738536508625,0.09635031710457298,0.027982829686915095,NotLabeled
2020-08-07 00:00:00+05:30,32.275749754353086,32.87742884653777,31.888955818028133,32.40468215942383,30210437,30.230044841766357,32.23799928717859,28.222090396354126,0.9003799042792302,0.7855211960395729,0.11485870823965727,62.011204765149195,0.00399461286305991,0.10882343381677351,0.0268186748132301,NotLabeled
2020-08-10 00:00:00+05:30,32.66254045231298,32.92040195800122,31.931932306381807,32.74849319458008,24215712,30.331040477752687,32.62710012162809,28.034980833877285,0.999613096830327,0.8283395761977238,0.17127352063260315,62.43092784718503,0.010609918451437883,0.10917020581382686,0.02687908428405919,NotLabeled
2020-08-11 00:00:00+05:30,33.00636399099042,35.06925969112262,32.877431575218864,33.436134338378906,75064417,30.533032608032226,33.16855166096623,27.89751355509822,1.1208228620457064,0.8868362333673203,0.23398662867838604,70.49184740893041,0.020997642233891556,0.12427777212686864,0.026072055390828804,NotLabeled
2020-08-12 00:00:00+05:30,32.8344546667717,33.43613379919045,32.49063708285028,33.30720138549805,18065708,30.767257404327392,33.51805635851142,28.01645845014336,1.1927296179014988,0.9480149102741561,0.2447147076273427,69.3548644945098,-0.0038560962692647527,0.05442178595943603,0.02378247353330116,NotLabeled
2020-08-13 00:00:00+05:30,33.60803931226368,34.08078930987751,32.96338380157662,33.30720138549805,15903731,30.9499098777771,33.869456482426926,28.03036327312727,1.2354744594648537,1.0055068201122956,0.22996763935255804,75.88241928190948,0.0,0.03195737566770429,0.02264801782054195,NotLabeled
2020-08-14 00:00:00+05:30,33.479110179717004,33.99483327674644,32.96338380380008,33.39315414428711,20231298,31.0981803894043,34.20148681445339,27.994873964355207,1.2617411570094568,1.056753687491728,0.20498746951772873,79.39395862965299,0.0025806058513966335,0.03050398643011576,0.021695878039043964,NotLabeled
2020-08-17 00:00:00+05:30,33.60804367510707,33.95186130366134,33.393158476982634,33.565067291259766,11048607,31.24860038757324,34.5280322132207,27.969168561925784,1.281655531117611,1.1017340562169047,0.1799214749007063,75.36237756732349,0.005148155404243848,0.02493470743303794,0.02119673398469297,NotLabeled
2020-08-18 00:00:00+05:30,33.56505611815141,35.32711350044201,33.393147361099125,35.026275634765625,25628065,31.459187507629395,35.137865030213526,27.780509985045263,1.3992158284778284,1.1612304106690896,0.23798541780873883,81.17647488809537,0.04353360387531091,0.047557569912066944,0.022809051237580466,NotLabeled
